id,车型,车号,终端号,经度,纬度,海拔,时间,是否库内,车次,速度,插入时间
9495,231,7034A,13954,111.3855418259,39.0511144132,1180.2025458012,2016/6/22 19:05:27,0,3,0,2016/6/22 19:05:19
9832,207,573A,60632,112.1506282323,39.0648824368,1511.4351743572,2016/6/22 19:06:20,0,3,0,2016/6/22 19:06:19
9834,231,7121B,60294,110.3193765476,39.1873747242,1025.4567241622,2016/6/22 19:06:22,0,3,0,2016/6/22 19:06:19
9954,225,122A,60158,110.3520041882,39.1435331429,1013.2709907014,2016/6/22 19:06:39,0,3,0,2016/6/22 19:06:49
10280,231,7106A,60116,111.724164379,39.1175573261,1299.3093604548,2016/6/22 19:07:24,0,3,0,2016/6/22 19:07:19
10523,231,7122B,60102,110.3237423639,39.1822790889,1027.1678262223,2016/6/22 19:07:56,0,3,0,2016/6/22 19:07:49
10562,225,25A,15242,112.1964053486,39.0799615243,1546.1840987094,2016/6/22 19:08:02,0,3,0,2016/6/22 19:07:49
10668,225,74B,10060,110.3114571657,39.1935103344,1026.2861037441,2016/6/22 19:07:48,0,3,13,2016/6/22 19:08:19
10718,231,7035A,13942,111.4141026231,39.0623447371,1201.8785018129,2016/6/22 19:08:02,0,3,0,2016/6/22 19:08:19
11206,225,27A,11468,110.3071301876,39.1994699523,1028.9812942212,2016/6/22 19:09:35,0,3,0,2016/6/22 19:09:50
11254,231,7034A,13954,111.4300817567,39.0703764368,1205.3133537332,2016/6/22 19:09:42,0,3,0,2016/6/22 19:09:50
11573,225,73A,10106,110.3102132761,39.1949115506,1027.7083274536,2016/6/22 19:10:28,0,3,0,2016/6/22 19:10:20
11632,207,573A,60632,112.1505183125,39.0648699074,1511.5466525685,2016/6/22 19:10:35,0,3,0,2016/6/22 19:10:50
11640,231,7121B,60294,110.3193988681,39.1873924922,1022.276957022,2016/6/22 19:10:36,0,3,0,2016/6/22 19:10:50
11814,231,7033B,13834,111.4431563519,39.0704868932,1200.5502464371,2016/6/22 19:10:51,0,3,0,2016/6/22 19:10:50
12068,231,7106A,60116,111.7523019126,39.1224781454,1310.1986378059,2016/6/22 19:11:39,0,3,0,2016/6/22 19:11:50
12273,231,7122B,60102,110.3237557753,39.1822769316,1027.4300708221,2016/6/22 19:12:12,0,3,0,2016/6/22 19:12:20
12305,225,25A,15242,112.1960795267,39.0797719208,1545.9997714004,2016/6/22 19:12:16,0,3,0,2016/6/22 19:12:20
12356,225,74B,10060,110.3103618303,39.1946767354,1022.8136705523,2016/6/22 19:12:23,0,3,0,2016/6/22 19:12:20
12950,225,27A,11468,110.3108548489,39.1955811969,1026.4972435543,2016/6/22 19:13:51,0,3,23,2016/6/22 19:13:50
13492,207,573A,60632,112.1587760375,39.0660863474,1505.1717697866,2016/6/22 19:14:47,0,3,0,2016/6/22 19:14:51
13530,231,7121B,60294,110.3194002527,39.1874126575,1027.4751330279,2016/6/22 19:14:52,0,3,0,2016/6/22 19:14:51
13583,225,73A,10106,110.3096828207,39.1960317532,1026.9535664097,2016/6/22 19:14:58,0,3,14,2016/6/22 19:14:51
13694,225,122A,60158,110.389304313,39.0899673781,1000.6960593136,2016/6/22 19:15:12,0,3,0,2016/6/22 19:15:21
14214,231,7122B,60102,110.3237563539,39.1822918689,1030.5392575255,2016/6/22 19:16:27,0,3,0,2016/6/22 19:16:21
14263,225,25A,15242,112.1962776274,39.0797739531,1544.801822844,2016/6/22 19:16:31,0,3,0,2016/6/22 19:16:21
14272,231,7035A,13942,111.5063212778,39.0649420664,1223.8108093236,2016/6/22 19:16:32,0,3,0,2016/6/22 19:16:21
14307,225,74B,10060,110.307690326,39.1986544082,1026.3810761524,2016/6/22 19:16:39,0,3,14,2016/6/22 19:16:51
14910,225,27A,11468,110.3224410137,39.1837316501,1025.791786205,2016/6/22 19:18:04,0,3,21,2016/6/22 19:17:51
14963,231,7034A,13954,111.5244813738,39.0664475865,1229.6264768066,2016/6/22 19:18:11,0,3,0,2016/6/22 19:18:21
15313,207,573A,60632,112.1614754241,39.0666047395,1507.1178901848,2016/6/22 19:19:02,0,3,0,2016/6/22 19:18:51
15352,231,7121B,60294,110.3193822925,39.1874006981,1023.1059019044,2016/6/22 19:19:06,0,3,0,2016/6/22 19:19:21
15437,225,73A,10106,110.3043285157,39.2021083183,1026.3188190134,2016/6/22 19:19:12,0,3,0,2016/6/22 19:19:21
15498,225,122A,60158,110.3998721578,39.0751919293,994.420947169,2016/6/22 19:19:24,0,3,0,2016/6/22 19:19:21
7771,207,6202A,60546,112.1883337956,39.0747737801,1518.3554320708,2016/6/22 19:01:15,0,10,0,2016/6/22 19:01:18
9505,207,6202A,60546,112.1896427262,39.0755317001,1521.3591162479,2016/6/22 19:05:27,0,10,0,2016/6/22 19:05:19
11244,207,6202A,60546,112.188699441,39.0751520395,1513.9006583709,2016/6/22 19:09:42,0,10,0,2016/6/22 19:09:50
13069,207,6202A,60546,112.1873137456,39.0742265199,1517.0182064585,2016/6/22 19:13:59,0,10,0,2016/6/22 19:13:50
14958,207,6202A,60546,112.1874125106,39.0743697241,1521.9281947454,2016/6/22 19:18:15,0,10,0,2016/6/22 19:18:21
7751,231,7041A,15222,111.8290997868,39.0982193297,1323.7354528811,2016/6/22 19:01:12,0,11,0,2016/6/22 19:01:18
7774,231,7041B,13928,111.8294637079,39.0980411481,1323.0770332301,2016/6/22 19:01:17,0,11,12,2016/6/22 19:01:18
7788,231,7088A,60282,111.8289812192,39.0983137937,1325.4790369514,2016/6/22 19:01:17,0,11,13,2016/6/22 19:01:18
8026,231,7127B,60054,111.83019816,39.0979613201,1369.4407252232,2016/6/22 19:01:55,0,11,9,2016/6/22 19:01:48
8704,207,1098A,60718,111.8340398653,39.0963947748,1326.6413326804,2016/6/22 19:03:18,0,11,0,2016/6/22 19:03:19
9500,231,7041A,15222,111.8344837687,39.0962366586,1324.2088072877,2016/6/22 19:05:28,0,11,0,2016/6/22 19:05:19
9511,231,7041B,13928,111.8351565098,39.0959261857,1320.015672694,2016/6/22 19:05:30,0,11,0,2016/6/22 19:05:19
9521,231,7088A,60282,111.8342207027,39.0963065703,1329.9256940093,2016/6/22 19:05:31,0,11,0,2016/6/22 19:05:19
10349,207,1098A,60718,111.8340340636,39.0963875522,1323.2041561185,2016/6/22 19:07:34,0,11,0,2016/6/22 19:07:19
11281,231,7088A,60282,111.8388383786,39.0948681933,1332.584142617,2016/6/22 19:09:47,0,11,0,2016/6/22 19:09:50
11889,231,7041A,15222,111.8391696104,39.0947250055,1328.9682176942,2016/6/22 19:09:42,0,11,0,2016/6/22 19:11:20
12155,207,1098A,60718,111.8340738868,39.0964246524,1328.2195126563,2016/6/22 19:11:51,0,11,0,2016/6/22 19:11:50
12998,231,7041A,15222,111.8412766132,39.0940514654,1321.9832225572,2016/6/22 19:13:58,0,11,0,2016/6/22 19:13:50
13007,231,7088A,60282,111.8407939563,39.0940525133,1303.3971217685,2016/6/22 19:14:02,0,11,14,2016/6/22 19:13:50
13078,231,7041B,13928,111.8399333557,39.0945536309,1294.4122086288,2016/6/22 19:09:46,0,11,12,2016/6/22 19:13:50
